x	   y	  bx	 by	    bz	   rho	  ppar   pper
2.215  3.566  1.187  0.045  0.128  0.856  0.822  1.699
2.246  3.566  1.194  0.051  0.131  0.859  0.824  1.703
2.278  3.566  1.196  0.053  0.134  0.863  0.827  1.710
2.309  3.566  1.191  0.050  0.135  0.874  0.837  1.730
2.340  3.566  1.174  0.043  0.134  0.897  0.862  1.774
2.372  3.566  1.143  0.037  0.130  0.936  0.908  1.855
2.403  3.566  1.096  0.038  0.122  0.995  0.978  1.977
2.435  3.566  1.025  0.056  0.107  1.080  1.075  2.148
2.466  3.566  0.935  0.088  0.089  1.180  1.201  2.358
2.498  3.566  0.835  0.128  0.073  1.282  1.343  2.580
2.529  3.566  0.744  0.169  0.060  1.371  1.473  2.775
2.560  3.566  0.670  0.200  0.050  1.442  1.579  2.932
2.592  3.566  0.626  0.219  0.044  1.488  1.654  3.037
2.623  3.566  0.608  0.227  0.042  1.509  1.688  3.085
2.655  3.566  0.606  0.223  0.040  1.508  1.692  3.089
2.686  3.566  0.611  0.208  0.040  1.494  1.678  3.064
2.717  3.566  0.634  0.173  0.042  1.461  1.635  2.997
2.749  3.566  0.690  0.123  0.047  1.406  1.549  2.873
2.780  3.566  0.780  0.057  0.057  1.318  1.417  2.677
2.812  3.566  0.885  -0.008  0.069  1.222  1.275  2.461
2.843  3.566  0.987  -0.060  0.082  1.128  1.149  2.257
2.875  3.566  1.070  -0.089  0.095  1.048  1.045  2.086
2.906  3.566  1.143  -0.101  0.106  0.977  0.957  1.937
2.937  3.566  1.206  -0.102  0.116  0.913  0.879  1.805
2.969  3.566  1.262  -0.098  0.127  0.853  0.810  1.683
3.000  3.566  1.310  -0.093  0.137  0.796  0.745  1.568
3.032  3.566  1.344  -0.091  0.146  0.745  0.687  1.464
3.063  3.566  1.364  -0.090  0.153  0.706  0.645  1.386
3.094  3.566  1.372  -0.088  0.158  0.680  0.617  1.335
3.126  3.566  1.373  -0.086  0.164  0.666  0.602  1.307
3.157  3.566  1.367  -0.082  0.167  0.659  0.595  1.293
3.189  3.566  1.358  -0.077  0.168  0.657  0.593  1.289
3.220  3.566  1.346  -0.074  0.169  0.660  0.597  1.296
3.252  3.566  1.332  -0.071  0.168  0.669  0.607  1.315
3.283  3.566  1.316  -0.070  0.167  0.682  0.621  1.341
3.314  3.566  1.299  -0.071  0.164  0.698  0.639  1.373
3.346  3.566  1.282  -0.074  0.160  0.716  0.660  1.411
3.377  3.566  1.264  -0.077  0.156  0.737  0.683  1.454
3.409  3.566  1.247  -0.081  0.151  0.760  0.708  1.499
3.440  3.566  1.232  -0.086  0.147  0.784  0.734  1.547
3.471  3.566  1.218  -0.091  0.142  0.808  0.761  1.595
