x	   y	  bx	 by	    bz	   rho	  ppar   pper
2.215  3.723  0.470  0.216  0.049  1.291  1.475  2.699
2.246  3.723  0.442  0.203  0.045  1.308  1.518  2.752
2.278  3.723  0.424  0.190  0.043  1.324  1.550  2.793
2.309  3.723  0.418  0.178  0.041  1.334  1.565  2.812
2.340  3.723  0.425  0.168  0.041  1.336  1.559  2.810
2.372  3.723  0.448  0.153  0.042  1.338  1.537  2.797
2.403  3.723  0.495  0.129  0.045  1.335  1.507  2.766
2.435  3.723  0.564  0.089  0.050  1.308  1.455  2.693
2.466  3.723  0.651  0.038  0.058  1.266  1.379  2.588
2.498  3.723  0.748  -0.013  0.066  1.218  1.297  2.471
2.529  3.723  0.845  -0.059  0.076  1.180  1.230  2.375
2.560  3.723  0.929  -0.099  0.084  1.136  1.166  2.277
2.592  3.723  0.998  -0.128  0.091  1.093  1.106  2.183
2.623  3.723  1.057  -0.149  0.097  1.058  1.059  2.108
2.655  3.723  1.105  -0.165  0.102  1.028  1.017  2.042
2.686  3.723  1.145  -0.176  0.106  1.002  0.983  1.987
2.717  3.723  1.179  -0.185  0.110  0.981  0.954  1.941
2.749  3.723  1.207  -0.192  0.113  0.962  0.930  1.901
2.780  3.723  1.229  -0.198  0.115  0.946  0.910  1.867
2.812  3.723  1.247  -0.203  0.118  0.933  0.893  1.839
2.843  3.723  1.259  -0.206  0.119  0.923  0.880  1.817
2.875  3.723  1.267  -0.207  0.121  0.916  0.871  1.803
2.906  3.723  1.270  -0.206  0.122  0.912  0.865  1.792
2.937  3.723  1.269  -0.201  0.123  0.908  0.860  1.785
2.969  3.723  1.265  -0.193  0.123  0.905  0.858  1.780
3.000  3.723  1.258  -0.180  0.124  0.902  0.855  1.775
3.032  3.723  1.250  -0.163  0.125  0.896  0.849  1.763
3.063  3.723  1.243  -0.141  0.126  0.883  0.835  1.738
3.094  3.723  1.242  -0.116  0.129  0.860  0.812  1.695
3.126  3.723  1.245  -0.087  0.133  0.831  0.781  1.637
3.157  3.723  1.252  -0.059  0.137  0.799  0.747  1.574
3.189  3.723  1.259  -0.033  0.141  0.768  0.715  1.514
3.220  3.723  1.263  -0.014  0.145  0.742  0.688  1.462
3.252  3.723  1.263  -0.003  0.147  0.723  0.668  1.425
3.283  3.723  1.261  0.003  0.149  0.713  0.658  1.405
3.314  3.723  1.258  0.004  0.149  0.710  0.655  1.400
3.346  3.723  1.251  0.001  0.149  0.713  0.658  1.406
3.377  3.723  1.244  -0.005  0.147  0.720  0.667  1.422
3.409  3.723  1.237  -0.013  0.145  0.730  0.679  1.442
3.440  3.723  1.229  -0.023  0.143  0.743  0.694  1.469
3.471  3.723  1.220  -0.035  0.140  0.760  0.712  1.502
